steering_wheel_angle,,等效转角,,
-304.26 ,-0.29567709,-16.94104935,,14.4104097
-303.68 ,-0.29518903,-16.9130856,,14.41215896
-303.10 ,-0.294700814,-16.88511287,,14.41391126
-302.52 ,-0.29421245,-16.85713169,,14.41565392
-301.94 ,-0.293723948,-16.82914258,,14.41739958
-301.36 ,-0.293235162,-16.80113721,,14.41913237
-300.78 ,-0.292746412,-16.77313385,,14.42086749
-300.20 ,-0.292257396,-16.74511533,,14.42258962
-299.62 ,-0.29176828,-16.71709102,,14.42431465
-299.04 ,-0.291279071,-16.68906143,,14.42602975
-298.45 ,-0.290789627,-16.66101836,,14.42774772
-297.87 ,-0.290299958,-16.6329624,,14.42945185
-297.29 ,-0.289810226,-16.60490279,,14.43115559
-296.71 ,-0.289320438,-16.57684004,,14.4328524
-296.13 ,-0.288830304,-16.54875744,,14.43455198
-295.55 ,-0.288340135,-16.52067279,,14.4362375
-294.97 ,-0.28784964,-16.4925695,,14.43792635
-294.39 ,-0.287359128,-16.46446526,,14.43960426
-293.81 ,-0.286868461,-16.43635207,,14.4412816
-293.23 ,-0.286377499,-16.40822202,,14.44294788
-292.65 ,-0.285886401,-16.3800842,,14.44462066
-292.07 ,-0.285395178,-16.35193917,,14.44627903
-291.49 ,-0.284903838,-16.32378748,,14.44793671
-290.91 ,-0.284412246,-16.29562134,,14.44958702
-290.33 ,-0.283920558,-16.26744969,,14.45123986
-289.74 ,-0.283428639,-16.2392648,,14.45288304
-289.16 ,-0.282936644,-16.21107555,,14.45452265
-288.58 ,-0.282444294,-16.182866,,14.45616081
-288.00 ,-0.281951889,-16.15465328,,14.45778807
-287.42 ,-0.281459295,-16.12642973,,14.4594138
-286.84 ,-0.280966523,-16.09819598,,14.46103582
-286.26 ,-0.280473584,-16.06995262,,14.46265291
-285.68 ,-0.279980346,-16.04169215,,14.46426622
-285.10 ,-0.279487103,-16.01343142,,14.46587451
-284.52 ,-0.278993583,-15.98515484,,14.46747435
-283.94 ,-0.278499939,-15.9568711,,14.46907709
-283.36 ,-0.278006041,-15.92857281,,14.47067189
-282.78 ,-0.277512039,-15.9002686,,14.47226153
