time_stamp,steering_wheel_angle,speed,yaw_rate,lateral_acc
3203868954,217.688,3.07292,0.305433,0.09375
3203889832,215.562,3.08594,0.30216,0.09375
3203908863,214.5,3.09028,0.298888,0
3203930101,212.375,3.09894,0.295615,0
3203951269,210.375,3.10764,0.292343,0
3203970909,207.375,3.11633,0.290161,0.09375
3203993185,205.188,3.125,0.286888,0.09375
3204009050,202.875,3.12933,0.286888,0.09375
3204028875,200.375,3.13803,0.284707,0.1875
3204054376,199.062,3.14669,0.284707,0.1875
3204069992,194.688,3.15106,0.283616,0.1875
3204095121,191.375,3.15539,0.283616,0.1875
3204111248,188,3.15972,0.281434,0.1875
3204129837,184.25,3.16839,0.280344,0.1875
3204154322,180.375,3.17708,0.277071,0.1875
3204178311,176.25,3.19011,0.272708,0.1875
3204207719,172,3.19878,0.267254,0.1875
3204208828,167.562,3.20747,0.261799,0.1875
3204234162,163,3.21614,0.255254,0.1875
