speed_f,yaw_rate_f,longitude_acc_f,lateral_acc_f,X_f,Y_f,PHI_f
10.5652,0.0181015,0.0519309,-0.226765,62.3143,-1.83992,-0.0561275
10.5656,0.018185,0.0490342,-0.226608,62.5224,-1.85168,-0.0557472
10.5662,0.0182228,0.0467679,-0.226481,62.7535,-1.86465,-0.0553377
10.5646,0.0182745,0.0434863,-0.2263,62.9477,-1.87591,-0.0549869
10.565,0.0183194,0.0409812,-0.226136,63.1516,-1.88719,-0.0546197
10.5633,0.0183254,0.0387022,-0.226003,63.3786,-1.90018,-0.0542237
10.5605,0.0183327,0.0359705,-0.225793,63.5825,-1.91208,-0.0538672
10.5587,0.0183062,0.0337341,-0.225643,63.7969,-1.92424,-0.0535034
10.5598,0.01828,0.0320412,-0.22549,64.009,-1.93543,-0.0531444
10.5582,0.0182521,0.029863,-0.225321,64.2109,-1.94671,-0.0528044
10.5553,0.0182266,0.0277104,-0.225161,64.4185,-1.95858,-0.0524542
10.5548,0.0182056,0.0262559,-0.225025,64.6444,-1.9707,-0.0520714
10.5577,0.018181,0.025165,-0.22486,64.8498,-1.9807,-0.0517261
10.5604,0.0181571,0.0241082,-0.224739,65.0545,-1.99064,-0.0513823
10.5572,0.0180987,0.0222184,-0.224619,65.2599,-2.0022,-0.0510516
10.5551,0.0180496,0.0207535,-0.224476,65.4809,-2.01418,-0.050692
10.5524,0.0180042,0.0192967,-0.224341,65.7085,-2.02661,-0.0503209
10.5495,0.017982,0.0174917,-0.224135,65.893,-2.03678,-0.050015
10.5478,0.0179367,0.0163389,-0.224031,66.115,-2.04847,-0.0496551
10.5474,0.0178844,0.0153017,-0.223907,66.3181,-2.05876,-0.0493316
10.5475,0.0178705,0.0144387,-0.223741,66.5242,-2.06896,-0.0489878
10.5462,0.0178262,0.0134749,-0.22359,66.7404,-2.08,-0.0486405
10.5469,0.017779,0.0128038,-0.223423,66.9466,-2.0899,-0.0483123
